text,ipc_codes,APPLN_YR
"Metallocene catalysts for olefin polymerization and methog of polymerizing olefins using the metallocene catalysts The new metallocene catalysts according to the present invention are prepared by reacting a metallocene compound with a compound having at least two functional groups. The metallocene compound is a transition metal compound, which is coordinated with a main ligand such as cyclopentadienyl group, and an ancillary ligand. The functional groups in the compound are selected from the group consisting of a hydroxyl group, an alkyl or aryl magnesium halide, a thiol group, a primary amine group, a secondary amine group, a primary phosphorous group, a secondary phosphorous group, etc. The metallocene catalysts according to the present invention have a structure in which an ancillary ligand of a metallocene compound is bonded to the functional groups of a compound having at least two functional groups. A structure of the metallocene catalysts can be varied with the type of a metallocene compound and a compound having at least two functional groups, and the molar ratio of each reactant. The metallocene catalysts are employed with a co-catalyst for olefin polymerization. The co-catalyst is an organometallic compound, or a mixture of non-coordinated Lewis acid and alkyl aluminium as it is well known in the art.","C08F4, C07F17, C08F210",2010
"DRIVE CONTROL DEVICE The objective of the present invention is to suppress shocks and vibrations from being imparted to a driver by means of the generated torque of an engine when executing torque reduction control during gear shifting. In this drive control device able to execute torque reduction control during gear shifting, when executing torque reduction control, torque limiting is performed on the basis of the generatable torque in the case that the requested torque called for on the basis of an accelerator aperture exceeds the generatable torque that is the torque that can be generated by the engine.",F02D29,2016
Electric actuators An electric actuator which comprises an electric motor operable to a varying degree correspondingly to cause a spring to generate on an output member an output force which varies in accordance with the varying degree of operation of the electric motor.,F16D65,1984
"Improved bar-code and bar-code reading device The invention consists of arranging a concentric bar-code (1) about the spin axis of a product, such as a CD (2), the bar-code being read and subsequently identified by means of a reading device (3), comprising a base (4) from which a column (5) projects, ending at the top in a deck (6) provided with side tracks (7) compatible with a sliding CD (2), being particular in that the column (5) axially houses a reading element (8) the end (9) of which projects in a position matching the longitudinal axis of the deck (6), wherein upon the CD (2) being passed lengthways along the deck (6) between the tracks (7), in order for the concentric bar-code (1) to lie on said deck, the reading element (8) diametrically crosses said concentric bar-code (1), reading it and identifying the product comprising it (fig. 1).The invention is applicable for identifying audio-visual CD or DVD products.",G11B23,2000
"ACYLOXY ACETIC ACID POLYMER AND METHOD FOR PRODUCING SAME There are provided an acyloxyacetic acid polymer which is capable of more readily synthesizing acyloxyacetic acid or glycolic acid, esters of these acids, and glycolides even under more moderate conditions in an economical manner, and can be used as a biodegradable polymer. The acyloxyacetic acid polymer of the present invention is represented by the general formula (1):

wherein R1 and R2 are each independently a hydrogen atom or a linear or branched lower alkyl group; and n is an integer of not less than 5. In the preferred embodiment of the present invention, the acyloxyacetic acid polymer is produced by reacting a formaldehyde compound, carbon monoxide, and an organocarboxylic acid or a derivative thereof, with each other in the presence of an acid catalyst.","C08G63, C07C69, C07C59, C07C67, C07B61, C07C51",2006
"INTERNAL COMBUSTION ENGINE PROVIDED WITH VARIABLE COMPRESSION RATIO MECHANISM This internal combustion engine provided with a variable compression ratio mechanism is equipped with a turbocharger, the opening degree of a wastegate valve is controlled to a target opening degree for each engine operating state (step 103), and when the mechanical compression ratio is changed (step 111), the target opening degree of the wastegate valve for the current engine operating state is revised (step S114).","F02D23, F02B37, F02D45, F02D15",2015
"HUMAN APOPTOSIS-ASSOCIATED GENES AND HUMAN APOPTOSIS-ASSOCIATED PROTEINS PRODUCED THEREBY As novel human apoptosis-related protein inducing apoptosis, a protein comprising the amino acid sequence of SEQ ID No. 2, 4 or 6 is provided. Moreover, a polynucleotide encoding the protein, an antibody against the protein, etc. are provided. These protein, polynucleotide and antibody are useful in, for example, diagnosis and treatment of cancers, autoimmune diseases, etc.","C07K16, A61P35, A61K38, A61K48, C12P21:08, C07K14, C12N15, A61P43, G01N33, A61P37, C12N5",2003
"SUB-REFLECTOR ASSEMBLIES AND RELATED ANTENNA ASSEMBLIES A sub-reflector assembly for a point-to-point antenna, the sub-reflector assembly comprising: a main body configured to hold an antenna; a sub-reflector supported by a plurality of support members extending axially outwardly from the main body; and an adjustment mechanism coupled to the sub-reflector and at least two of the support members, the adjustment mechanism configured to adjust a position of the sub-reflector relative to the main body to steer an antenna beam from the antenna.
","H01Q3, H01Q1, H01Q19",2023
"Raising seedling device and method A raising seedling device comprises a tray (2) and at least one pot (3), formed in the tray, for filling compost or soil in it, wherein the at least one pot has air/water flow portions (5) formed in its periphery wall (6) and/or its bottom wall portion (7) and wherein space defining portions for defining a space (12) between the bottom of the at least one pot and an installation surface on which the raising seedling device is placed are provided between the tray and the installation surface.",A01G9,2001
"Lithographic printing plate precursor A lithographic printing plate precursor comprising an image receiving layer and a waterproof substrate, wherein the image receiving layer comprises: needle filler particles or porous filler particles; and a binder resin comprising a complex of : a resin comprising at least one of a metal atom and a semimetal atom, each of the at least one of a metal atom and a semimetal atom being bonded to an oxygen atom; with a polymer compound represented by the following formula (I):
 wherein R1, R2, R3 and R4 each independently represent, a hydrogen atom or a hydrocarbon group having 1 to 8 carbon atoms; m is 0, 1 or 2; n is an integer of from 1 to 8; L represents a single bond or an organic linking group; and Y represents -MHCOR5, -CONH2-, -CON(R5)2, -COR5, -OH, -CO2M or -SO3M wherein R5 represents an alkyl group having 1 to 8 carbon atoms, and M represents a hydrogen atom, an alkali metal, an alkaline earth metal or an onium.",B41C1,2003
