Series Name,"Series Code","Country Name","Country Code","2021 [YR2021]"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Afghanistan","AFG","2144.16657002819"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Albania","ALB","16353.808681641"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Algeria","DZA","14496.8654697299"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","American Samoa","ASM",".."
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Andorra","AND","59332.2029100127"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Angola","AGO","7408.12659121059"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Antigua and Barbuda","ATG","25733.2948269644"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Argentina","ARG","26300.274261175"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Armenia","ARM","15921.705281964"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Aruba","ABW","35696.3093722926"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Australia","AUS","57321.5631542565"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Austria","AUT","63576.2416254062"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Azerbaijan","AZE","20111.3756952109"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Bahamas, The","BHS","29340.4723479708"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Bahrain","BHR","54954.6757895532"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Bangladesh","BGD","7441.06913961254"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Barbados","BRB","15683.8847128096"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Belarus","BLR","27611.1801135156"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Belgium","BEL","61873.9649551893"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Belize","BLZ","11677.4610095172"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Benin","BEN","3464.2886286745"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Bermuda","BMU","92276.2346046359"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Bhutan","BTN","13458.8126642925"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Bolivia","BOL","9454.19814726348"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Bosnia and Herzegovina","BIH","18544.0759332651"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Botswana","BWA","17961.3576218457"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Brazil","BRA","18075.7060063108"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","British Virgin Islands","VGB",".."
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Brunei Darussalam","BRN","78248.7971101454"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Bulgaria","BGR","29536.678063191"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Burkina Faso","BFA","2486.43093147762"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Burundi","BDI","836.665571337829"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Cabo Verde","CPV","7685.41921393669"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Cambodia","KHM","6225.53265474741"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Cameroon","CMR","4793.55628200196"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Canada","CAN","55781.6990272912"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Cayman Islands","CYM","74150.8580949692"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Central African Republic","CAF","1128.55237996459"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Chad","TCD","1700.16698806139"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Channel Islands","CHI",".."
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Chile","CHL","29105.1012040566"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","China","CHN","20406.7296584605"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Colombia","COL","17700.0596815076"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Comoros","COM","3441.21155585858"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Congo, Dem. Rep.","COD","1313.61821829086"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Congo, Rep.","COG","6263.21161292636"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Costa Rica","CRI","24140.4341568516"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Cote d'Ivoire","CIV","6045.20480490879"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Croatia","HRV","36914.1150367413"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Cuba","CUB",".."
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Curacao","CUW","25163.9936597935"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Cyprus","CYP","49929.83984375"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Czechia","CZE","49995.7048177559"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Denmark","DNK","70342.3173011589"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Djibouti","DJI","5947.86088370479"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Dominica","DMA","15594.2853457545"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Dominican Republic","DOM","21912.2589614037"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Ecuador","ECU","13539.7108484794"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Egypt, Arab Rep.","EGY","15579.0160861551"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","El Salvador","SLV","10809.713399518"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Equatorial Guinea","GNQ","16821.4486470413"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Eritrea","ERI",".."
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Estonia","EST","45063.541854854"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Eswatini","SWZ","9846.20708043753"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Ethiopia","ETH","2588.41296931036"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Faroe Islands","FRO","67757.7773227559"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Fiji","FJI","10685.1969806618"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Finland","FIN","57350.8712055554"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","France","FRA","53901.1095813953"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","French Polynesia","PYF",".."
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Gabon","GAB","18523.5798032193"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Gambia, The","GMB","2777.79620978324"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Georgia","GEO","18915.6534005263"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Germany","DEU","62950.048090848"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Ghana","GHA","6607.50297378321"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Gibraltar","GIB",".."
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Greece","GRC","33577.510092092"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Greenland","GRL","68086.4601238175"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Grenada","GRD","15298.1231115237"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Guam","GUM",".."
