# index, label, value, _pos
0,BrighamYoung,7,"array([-4.84646934, 20.3408989 ])"
1,FloridaState,0,"array([-5.08878406, 20.68762665])"
2,Iowa,2,"array([-4.4813656 , 20.69175195])"
3,KansasState,3,"array([-4.74225234, 20.43933293])"
4,NewMexico,7,"array([-4.66443668, 20.09057127])"
5,TexasTech,3,"array([-4.77337188, 20.15382167])"
6,PennState,2,"array([-4.52631544, 20.76523813])"
7,SouthernCalifornia,8,"array([-4.31591909, 20.42289632])"
8,ArizonaState,8,"array([-4.37153163, 20.13047595])"
9,SanDiegoState,7,"array([-4.51104195, 20.21420674])"
10,Baylor,3,"array([-4.70127017, 20.38332612])"
11,NorthTexas,10,"array([-4.86456215, 20.1153611 ])"
12,NorthernIllinois,6,"array([-4.89758411, 20.9326284 ])"
13,Northwestern,2,"array([-4.64452475, 20.81823082])"
14,WesternMichigan,6,"array([-4.67659212, 20.9553206 ])"
15,Wisconsin,2,"array([-4.54524428, 20.68182708])"
16,Wyoming,7,"array([-4.66865198, 20.32811386])"
17,Auburn,9,"array([-5.08974229, 20.49591376])"
18,Akron,6,"array([-4.88271657, 21.04165787])"
19,VirginiaTech,1,"array([-4.96043121, 20.82611829])"
20,Alabama,9,"array([-5.03054547, 20.42411746])"
21,UCLA,8,"array([-4.423475  , 20.39848415])"
22,Arizona,8,"array([-4.26066146, 20.33657677])"
23,Utah,7,"array([-4.5193001, 20.1272948])"
24,ArkansasState,10,"array([-4.89695186, 20.23372766])"
25,NorthCarolinaState,0,"array([-5.00618397, 20.67315458])"
26,BallState,6,"array([-4.90126531, 20.82748863])"
27,Florida,9,"array([-5.27508614, 20.58683663])"
28,BoiseState,11,"array([-4.8239326 , 20.22102818])"
29,BostonCollege,1,"array([-4.82880132, 20.7638223 ])"
30,WestVirginia,1,"array([-4.83485098, 20.65663132])"
31,BowlingGreenState,6,"array([-4.69676289, 21.05187954])"
32,Michigan,2,"array([-4.43651461, 20.78702125])"
33,Virginia,0,"array([-5.15759718, 20.69965102])"
34,Buffalo,6,"array([-4.81659354, 21.05847581])"
35,Syracuse,1,"array([-4.89617988, 20.740696  ])"
36,CentralFlorida,5,"array([-5.01748664, 20.76027215])"
37,GeorgiaTech,0,"array([-5.24214513, 20.75522463])"
38,CentralMichigan,6,"array([-4.72543483, 20.77469223])"
39,Purdue,2,"array([-4.48244899, 20.87792305])"
40,Colorado,3,"array([-4.54743474, 20.29389635])"
41,ColoradoState,7,"array([-4.58315685, 20.10399558])"
42,Connecticut,5,"array([-5.05223415, 20.9495284 ])"
43,EasternMichigan,6,"array([-4.96013247, 20.96312801])"
44,EastCarolina,4,"array([-5.04681879, 20.5867983 ])"
45,Duke,0,"array([-5.11773242, 20.8632892 ])"
46,FresnoState,11,"array([-4.3661644 , 20.54172876])"
47,OhioState,2,"array([-4.38216328, 20.71806755])"
48,Houston,4,"array([-4.89557068, 20.42268305])"
49,Rice,11,"array([-4.49769526, 20.53346429])"
50,Idaho,10,"array([-4.71533577, 20.19641964])"
51,Washington,8,"array([-4.44139302, 20.28602236])"
52,Kansas,3,"array([-4.78156003, 20.37206531])"
53,SouthernMethodist,11,"array([-4.67493589, 20.48717396])"
54,Kent,6,"array([-4.61641545, 21.0684778 ])"
55,Pittsburgh,1,"array([-4.73108632, 20.88521972])"
56,Kentucky,9,"array([-5.18144289, 20.48058092])"
57,Louisville,4,"array([-5.117002 , 20.5758114])"
58,LouisianaTech,11,"array([-4.82561138, 20.54945162])"
59,LouisianaMonroe,10,"array([-5.01086385, 20.50168774])"
60,Minnesota,2,"array([-4.61843683, 20.71205527])"
61,MiamiOhio,6,"array([-4.79688227, 20.91487104])"
62,Vanderbilt,9,"array([-5.19432743, 20.63025549])"
63,MiddleTennesseeState,10,"array([-4.97890325, 20.59136022])"
64,Illinois,2,"array([-4.49307645, 20.60703679])"
65,MississippiState,9,"array([-5.1880051, 20.3868159])"
66,Memphis,4,"array([-5.10559515, 20.34455014])"
67,Nevada,11,"array([-4.48508901, 20.35993098])"
68,Oregon,8,"array([-4.37051005, 20.27098709])"
69,NewMexicoState,10,"array([-4.90883757, 20.30327005])"
70,SouthCarolina,9,"array([-5.20276984, 20.54937978])"
71,Ohio,6,"array([-4.60602246, 20.94220531])"
72,IowaState,3,"array([-4.60501038, 20.48112839])"
73,SanJoseState,11,"array([-4.41124451, 20.48491174])"
74,Nebraska,3,"array([-4.60973884, 20.40943918])"
75,SouthernMississippi,4,"array([-5.0359717 , 20.33811737])"
76,Tennessee,9,"array([-5.28997311, 20.40065122])"
77,Stanford,8,"array([-4.3519505 , 20.34120678])"
78,WashingtonState,8,"array([-4.42865098, 20.17608459])"
79,Temple,1,"array([-4.85969197, 20.88078794])"
80,Navy,5,"array([-4.90129171, 20.66846937])"
81,TexasA&M,3,"array([-4.59835643, 20.32763299])"
82,NotreDame,5,"array([-4.60068307, 20.61193882])"
83,TexasElPaso,11,"array([-4.53980447, 20.4095802 ])"
84,Oklahoma,3,"array([-4.61715883, 20.24471422])"
85,Toledo,6,"array([-4.7645308 , 20.98565673])"
86,Tulane,4,"array([-4.97005772, 20.40088158])"
87,Mississippi,9,"array([-5.10212781, 20.26358425])"
88,Tulsa,11,"array([-4.67273773, 20.55863699])"
89,NorthCarolina,0,"array([-5.01745847, 20.87331119])"
90,UtahState,5,"array([-4.74839132, 20.05120037])"
91,Army,4,"array([-4.93951119, 20.48899155])"
92,Cincinnati,4,"array([-4.8990296 , 20.57029713])"
93,AirForce,7,"array([-4.72447612, 20.31038902])"
94,Rutgers,1,"array([-4.78120831, 20.8292983 ])"
95,Georgia,9,"array([-5.28611798, 20.46981988])"
96,LouisianaState,9,"array([-5.25193961, 20.32468743])"
97,LouisianaLafayette,10,"array([-4.98132692, 20.25275588])"
98,Texas,3,"array([-4.68905715, 20.25332332])"
99,Marshall,6,"array([-4.74304561, 21.11518839])"
100,MichiganState,2,"array([-4.54357582, 20.83645643])"
101,MiamiFlorida,1,"array([-4.76651441, 20.66634598])"
102,Missouri,3,"array([-4.75780145, 20.52179055])"
103,Clemson,0,"array([-5.1567504 , 20.76926859])"
104,NevadaLasVegas,7,"array([-4.6597016 , 20.17907602])"
